State   ,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","State Population, 2008","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014"
Washington,"193,387","192,565","194,706","191,753","183,416","532,526","545,986","539,859","519,599","519,794","168,120","179,861","185,961","183,975","186,102","70,430","69,038","75,387","65,756","67,969","41,455","39,587","41,012","40,365","46,216","6,566,073","6,664,195","6,742,950","6,830,038","6,895,318","6,971,406","7,061,530"
West Virginia,"53,060","49,117","47,891","46,402","43,763","207,758","205,872","201,333","194,032","192,192","93,143","95,849","114,120","116,981","131,946","22,614","21,945","24,123","24,984","23,399","15,111","16,917","13,251","11,930","12,290","1,814,873","1,819,777","1,854,368","1,855,364","1,856,680","1,854,304","1,850,326"
Wisconsin,"127,891","121,516","118,585","113,763","108,901","594,850","606,117","596,269","563,653","546,286","135,728","166,478","172,918","173,032","174,822","64,369","63,650","60,128","59,596","57,409","44,856","82,427","87,538","88,294","97,191","5,627,610","5,654,774","5,691,659","5,711,767","5,724,554","5,742,713","5,757,564"
Wyoming,"13,338","12,997","12,602","11,980","11,629","56,424","57,420","56,578","53,764","52,901","14,276","15,747","15,703","14,914","14,876","9,533","9,338","9,428","8,244","8,279","2,572","4,196","3,079","3,516","3,529","532,981","544,270","564,554","568,158","576,626","582,658","584,153"
,,,,,,,,,--,--,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
